x,pdf'(x),error,accurate_bits
0.03125,-0.017307742609093318223277228718545528,1.32727137E-22,67
0.0625,-0.019064130434386666906260936367873519,1.17618696E-22,67
0.09375,-0.020741605211047196675216312959401977,1.03292942E-22,68
0.125,-0.022341378755545461692010224800232871,8.98237906E-23,68
0.15625,-0.023864772036667857623144605996619758,7.72835387E-23,68
0.1875,-0.025313202616791689363773039937566656,6.57258361E-23,69
0.21875,-0.026688172787231706485067273100525633,1.78139921E-24,74
0.25,-0.027991258391115976364828283474409092,4.56489681E-23,69
0.28125,-0.02922409832357514315374999063103389,5.77044813E-23,69
0.3125,-0.0303883846958827932619122895366741,8.76973571E-23,68
0.34375,-0.031485853647523225572692005249103454,8.31930665E-23,68
0.375,-0.032518276787945043218411621988099041,5.40073993E-23,69
0.40625,-0.033487453247944789864568804576362654,3.38319075E-23,69
0.4375,-0.034395202319176222340743842714601006,1.48577308E-22,67
0.46875,-0.035243356659161508209874451870021008,1.06819383E-22,68
0.5,-0.036033756038356427226537191650551607,7.78558546E-23,68
0.53125,-0.036768241605260373978451973517497601,5.87173703E-23,69
0.5625,-0.03744865064523353991043445422627737,4.71038648E-23,69
0.59375,-0.038076811808560132165774438559152816,2.14235310E-22,67
0.625,-0.038654540783351976882502935996948922,2.70079369E-23,70
0.65625,-0.039183636389097500279211997460234819,9.83100519E-23,68
0.6875,-0.039665877067004996975429655971138408,1.35524607E-22,67
0.71875,-0.040103017743746292435938094188941762,1.42432732E-22,68
0.75,-0.040496787045759207980336690286366533,1.33829973E-22,69
0.78125,-0.040848884841898185943688368580644622,1.18360825E-22,69
0.8125,-0.041160980092917197668698780803306767,1.44385001E-22,68
0.84375,-0.041434708987014332765632930524663348,3.46299642E-22,67
0.875,-0.041671673341451376007434714141438411,6.87421319E-23,69
0.90625,-0.041873439251073667463314786380402163,5.57256208E-23,70
0.9375,-0.042041535965386291062547794782256358,4.49030088E-23,70
0.96875,-0.04217745497668396040144205379626328,3.60853350E-23,70
1,-0.042282649302576724412927521744022292,2.90007372E-23,71
1.0625,-0.042406480525396230218169703105404494,1.89013359E-23,71
1.125,-0.042423867780515057614002040428758928,2.31246730E-22,68
1.1875,-0.042345014931261348775917057187408722,6.09715644E-22,66
1.25,-0.042179494241289222761621376615992222,4.20179989E-22,67
1.3125,-0.041936255533087798976261688532035191,2.90560955E-22,67
1.375,-0.041623640537053069005692291329031712,2.01231241E-22,68
1.4375,-0.041249401315103007466753179596333531,1.39344282E-22,68
1.5,-0.040820721796536065209003561693729492,2.08725239E-22,68
1.5625,-0.040344241602935482096981584909103683,1.20825018E-22,69
1.625,-0.039826081463720806971494642556402944,2.48103602E-22,68
1.6875,-0.039271869635038353819367400772831308,3.11397414E-23,70
1.75,-0.03868676883284931053972698035898341,2.16001667E-22,67
1.8125,-0.038075503277222396837065540202607929,1.28569843E-22,68
1.875,-0.037442385519935825588062351400721938,7.62669453E-23,68
1.9375,-0.036791342792531108348418582980546023,4.52439977E-23,69
2,-0.036125942667919614291696571406829541,2.68409412E-23,70
2.125,-0.034764690158103187391032453079517156,9.49948968E-24,71
2.25,-0.033380893667143208011704096272090588,2.19434674E-22,67
2.375,-0.031992546016860143716661350919653285,7.61368035E-23,68
2.5,-0.03061400676831579328844814895211026,2.56903932E-23,70
2.625,-0.029256569141094533567256865888558133,8.40303950E-24,72
2.75,-0.027928956692188607578711753048459112,2.69561905E-24,73
2.875,-0.026637754243620913779063150144417553,2.35535234E-22,67
3,-0.025387778675324632690120175942790731,3.99333153E-22,66
3.125,-0.024182395682746718683266998923398549,4.96027555E-22,66
3.25,-0.023023788648477438817394850346766024,3.20953663E-22,66
3.375,-0.021913185548781598418798592701210441,2.28047810E-22,67
3.5,-0.020851049420440506773256681618903654,2.39539827E-22,67
3.625,-0.019837237428938613059290194537336262,2.45731886E-22,66
3.75,-0.018871133059203093394689370490584715,2.45222478E-22,66
3.875,-0.017951755430191128278877624297003637,8.68394859E-23,67
4,-0.017077849236934052652395178650901114,6.65442721E-23,68
4.25,-0.015460485772135633097368778548428976,1.40988923E-22,66
4.5,-0.014005983819781217596713420996409359,5.45046421E-23,68
4.75,-0.012700363297123330084961242981914223,1.29401316E-22,67
5,-0.01152962863576932704614390241842505,8.54005415E-23,67
5.25,-0.010480319602904775292099412680075087,5.19072395E-23,68
5.5,-0.0095398234676812298788064941621122094,7.53973424E-23,66
5.75,-0.0086965295919186351908244079244847981,1.98806794E-23,68
6,-0.0079398823583559494653567685577779571,4.33769240E-23,67
6.25,-0.0072603705713822085004313805988527065,5.93316392E-23,67
6.5,-0.0066494790292239552495242790454310096,5.01543213E-23,67
6.75,-0.0060996193425709172450139124927398552,3.81379685E-23,67
7,-0.0056040511429683592980601232513541858,2.84962118E-23,68
7.25,-0.0051568007787505107808316195384980679,2.14914882E-23,68
7.5,-0.0047525818629231948219134355607231324,1.64002566E-23,68
7.75,-0.0043867202112345294311547580755917129,1.25779449E-23,68
8,-0.0040550845058529494643388455521194428,9.61683533E-24,68
8.5,-0.0034803080320689123193958870457424491,5.44298741E-24,69
9,-0.0030038200730423322518754158508766777,1.39566211E-23,68
9.5,-0.0026064735088268323385841866597826658,3.31396503E-24,70
10,-0.0022732078678100135183662697734115846,1.71580155E-23,66
10.5,-0.001992123836879852152037335421486301,2.76671148E-24,69
11,-0.0017537728545564371048159951564427294,5.80126569E-25,71
11.5,-0.0015506128819537536578747311945255167,3.17372235E-25,72
12,-0.001376591260249658667582762304124039,2.73538981E-25,72
12.5,-0.0012268242847847486726986239841026709,2.55249842E-25,72
13,-0.0010973502711603008822807582991468986,2.41634880E-25,72
13.5,-9.8493850303573441024942958951539613e-4,2.31595310E-25,72
14,-8.8694076171150357002977206798577596e-4,2.24834089E-25,72
14.5,-8.0117540399416460646978458052158915e-4,2.20601481E-25,72
15,-7.2583641282304594985760702743974207e-4,2.18091731E-25,72
15.5,-6.5942168884251411903786363573286697e-4,4.67632259E-24,67
16,-6.0067623305480228708573939153089946e-4,2.34254718E-24,67
17,-5.0214624075190757457134595359411905e-4,6.81056970E-25,69
18,-4.236403535958805725153081989409111e-4,9.86510793E-26,72
19,-3.6039740293823056920096634429079064e-4,2.06403308E-26,74
20,-3.0893462029090394543765324086823194e-4,1.21738022E-24,67
21,-2.6666917740997538669962664793503579e-4,2.05304931E-25,70
22,-2.3166115227128249457732037450996511e-4,1.86847640E-24,67
23,-2.0243623997948872300917993653396174e-4,2.81336456E-25,69
24,-1.7786168206874021056670280474612014e-4,3.79905855E-25,69
25,-1.5705825282789891774766095553105129e-4,5.17958953E-26,72
26,-1.3933702561296821080422005266075908e-4,7.66248263E-27,74
27,-1.2415339859864883306883343572589286e-4,1.75612429E-27,76
28,-1.1107329413390023490723118867956736e-4,9.71848063E-28,77
29,-9.9748046768679522569725224554482857e-5,8.71292430E-28,77
30,-8.9895562129833298684845183187095021e-5,8.61838287E-28,77
31,-8.1286049382484212324678711030539855e-5,8.64508799E-28,77
32,-7.3731122557844199510030879419907788e-5,8.68642507E-28,76
34,-6.1190022427655263241071138201149901e-5,8.76046141E-28,76
36,-5.1317730481093460949657822437324802e-5,5.34320489E-29,80
38,-4.3444692626305321249648310877069857e-5,5.32246776E-29,80
40,-3.7092242993707590275993104704834296e-5,5.27563773E-29,79
42,-3.1912273902028818837013747571538449e-5,5.30582608E-29,79
44,-2.7647671765488970881406245848329882e-5,5.43449473E-29,79
46,-2.4105836661793535527893430207582148e-5,5.61752076E-29,79
48,-2.114062687433387006933849271618871e-5,5.86079578E-29,79
50,-1.8639837421679130345147378639405238e-5,6.16636233E-29,78
52,-1.6516380353279949203970818769852266e-5,6.53147469E-29,77
54,-1.4701982946664278709866495808211114e-5,6.94807406E-29,77
56,-1.3142625142052210207148550297611883e-5,7.40276262E-29,77
58,-1.1795195584933060322210067508283673e-5,7.87729807E-29,77
60,-1.06250128418855943603414644630231e-5,8.34956772E-29,77
62,-9.6039684467501426269668061102053951e-6,8.79494809E-29,76
64,-8.7091220182580587902079879227067117e-6,9.18791796E-29,76
68,-7.2259123240938137680417790289328412e-6,3.35820749E-30,81
72,-6.060145576183195555261054055088189e-6,3.30211429E-30,81
76,-5.1314584558590535160347494301986356e-6,3.48112913E-30,81
80,-4.3826663792844797432687266456353843e-6,3.76988968E-30,80
84,-3.7723372962113554776438905029873246e-6,4.19822992E-30,79
88,-3.2699609996338131831953764347044259e-6,4.79273254E-30,79
92,-2.852737636032347653879193332515354e-6,5.57264654E-30,79
96,-2.5034002510450617145299067425592266e-6,6.54594348E-30,79
100,-2.2087118126053020425053635351104085e-6,7.70607367E-30,78
104,-1.9584107389019804495651784029160696e-6,9.02990969E-30,77
108,-1.7444599638554237545913860271142475e-6,1.04772159E-29,77
112,-1.5605047739254746096893752432688768e-6,1.19917886E-29,77
116,-1.4014763872264531679346884377021155e-6,1.35042046E-29,77
120,-1.2632986813116835108017512874167817e-6,1.49359293E-29,77
124,-1.142668858704625553935369335817619e-6,1.62043887E-29,75
128,-1.0368917416475169729857543490797353e-6,1.72285229E-29,75
136,-8.614238974719290174670112607705023e-7,2.23106501E-31,82
144,-7.2335562761967171521224313982392777e-7,2.53467070E-31,81
152,-6.1324216776645806637960365469629181e-7,3.02324237E-31,81
160,-5.2435969396492512669873879514017676e-7,3.75354594E-31,80
168,-4.5183367550824820174034915240556408e-7,4.77991901E-31,80
176,-3.9207209116403050247360299192017136e-7,6.14675327E-31,79
184,-3.4238867287468885049363622303624322e-7,7.88061358E-31,79
192,-3.0074743920518885641413947058968101e-7,9.98308378E-31,78
200,-2.6558632173950741230409825104684853e-7,1.24253947E-30,77
208,-2.3569338159639176524005487348685887e-7,1.51456852E-30,77
216,-2.1011862044877589883254554598779986e-7,1.80494122E-30,77
224,-1.8811027808958841526157161268686569e-7,2.10130312E-30,76
232,-1.6906822896226889886069268643096185e-7,2.38906636E-30,76
240,-1.5250948489158078686060955187708868e-7,2.65231312E-30,76
248,-1.3804237933858693415288348381436692e-7,2.87484904E-30,75
256,-1.2534705159867091677230813566765155e-7,3.04130756E-30,75
272,-1.0426538267245525137246803904901097e-7,1.88060672E-32,82
288,-8.7654771790348324375984134659589624e-8,2.45625888E-32,82
304,-7.4390720941585462814850118352472549e-8,3.34394466E-32,80
320,-6.3671593740645223191567179281550613e-8,4.63046914E-32,80
336,-5.491547818595815331189583572342984e-8,6.39579655E-32,79
352,-4.7693037741071878937613242794812363e-8,8.70115899E-32,79
368,-4.1682821091520166108957892816151356e-8,1.15770120E-31,79
384,-3.6640923307431522920002426190790624e-8,1.50125408E-31,77
400,-3.2380016128165153299712759079001444e-8,1.89483010E-31,77
416,-2.8754614768433515969482299937549678e-8,2.32732082E-31,77
432,-2.5650570278561063794566582902428973e-8,2.78265323E-31,76
448,-2.2977471787916317846291847926145588e-8,3.24049282E-31,76
464,-2.0663082743072182553440261760238953e-8,3.67739197E-31,76
480,-1.8649218612889985432860911836917811e-8,4.06827539E-31,75
496,-1.6888659246674647680320705268707845e-8,4.38812050E-31,75
512,-1.5342812721763998891970280655241326e-8,4.61367583E-31,75
544,-1.277373538019340453628634869364266e-8,1.88995662E-33,83
576,-1.0747455286999143498199959043947871e-8,2.77487576E-33,82
608,-9.1279053719730363177438730199495222e-9,4.11340769E-33,80
640,-7.8179721685265607454445159465774855e-9,6.02490241E-33,80
672,-6.747084344523300352350937799443738e-9,8.61668591E-33,79
704,-5.8631220179723024035329720770265191e-9,1.19673894E-32,79
736,-5.1270258682275326425003214815371106e-9,1.61104057E-32,78
768,-4.5091334808599197251705246126091262e-9,2.10198420E-32,77
800,-3.9866445342455925164352820650576196e-9,2.66011231E-32,77
832,-3.5418381710749197568641566551011504e-9,3.26878325E-32,76
864,-3.1608005071840153729022046837217214e-9,3.90455905E-32,76
896,-2.8325037621456461067828450295815442e-9,4.53828778E-32,76
928,-2.5481313837947307113801481079372446e-9,5.13678818E-32,76
960,-2.3005776477253452736990614071286038e-9,5.66497681E-32,75
992,-2.0840725877129315301449716209038675e-9,6.08823450E-32,75
1024,-1.8938980231353184532105794421016561e-9,6.37479239E-32,74
1088,-1.5776741208659732604834557687360223e-9,2.12301515E-34,83
1152,-1.3280955043353744214340902600897428e-9,3.35210463E-34,82
1216,-1.1284929406113493222972452285037178e-9,5.19359561E-34,80
1280,-9.6695970418545351573038307480740999e-10,7.80363460E-34,80
1344,-8.3483691600221232983743665086748228e-10,1.13206234E-33,79
1408,-7.2572529456132145218052878574271345e-10,1.58431685E-33,79
1472,-6.3482613509856995370586349238388715e-10,2.14084570E-33,78
1536,-5.5849309745022927421652579062761283e-10,2.79741794E-33,77
1600,-4.9392187800274244225791132934158915e-10,3.54067919E-33,77
1664,-4.3893182594322184655242271505718408e-10,4.34781394E-33,76
1728,-3.9180995949048144053997065178543994e-10,5.18713949E-33,76
1792,-3.5119801997987053351805081002816516e-10,6.01961011E-33,76
1856,-3.1600965316957206414508773216038981e-10,6.80110096E-33,76
1920,-2.8536897074143195828724676295073574e-10,7.48525475E-33,75
1984,-2.585644779884514080824221038459504e-10,8.02661941E-33,74
2048,-2.3501417600187568947461605507905826e-10,8.38378655E-33,74
2176,-1.9584163734212277767755221989227155e-10,2.52534546E-35,83
2304,-1.6491212089057472615144173048416795e-10,4.14742827E-35,82
2432,-1.4016676756657144684831848088909868e-10,6.56586564E-35,80
2560,-1.2013419842019600837565483030864617e-10,9.98018741E-35,80
2688,-1.0374389229732274881048896187483135e-10,1.45657781E-34,79
2816,-9.0204352678553724130861534446305885e-11,2.04455286E-34,79
2944,-7.8921819406730864540440102478987656e-11,2.76622241E-34,78
3072,-6.9444956186839511993936831662115291e-11,3.61556672E-34,77
3200,-6.1426536785032335879932525654596287e-11,4.57480900E-34,77
3328,-5.4596471697973714256980937210376051e-11,5.61403903E-34,76
3456,-4.8742534640630401529972603375395069e-11,6.69203508E-34,76
3584,-4.3696401829937808984138961255693165e-11,7.75824986E-34,76
3712,-3.9323411724834236483001249638796396e-11,8.75578650E-34,76
3840,-3.5514965975038519932318380134863205e-11,9.62508174E-34,75
3968,-3.2182829267181510413465822893779376e-11,1.03079449E-33,74
4096,-2.9254810506087100344782718723039445e-11,1.07515798E-33,74
8192,-3.6483276128962971584993455100232797e-12,1.36137559E-34,74
16384,-4.554514358102700677365537734284339e-13,1.71277987E-35,74
32768,-5.6891014795592229473979788247371093e-14,2.95548296E-32,61
65536,-7.1086269295303848464581523426730124e-15,1.02087829E-29,49
