# scale_pdf := (lambda >= 0) ? ( pdf * (lambda^2 + pi^2) ) : ( pdf * sqrt(2 pi) * exp(sigma) / sqrt(sigma) )
# sigma := exp(-lambda-1)
lambda,scaled_pdf,error
-12.6875,1.0000003499211986872339972901651470409468104928539188068292341475593733979322476031003209454414048156477809869253826344706225655493489179798283167967744845388168064239577,2.15811903e-167
-12.625,1.0000003724890803891840726147080839292396761836540199076599040518191280520859981090782618037075305867401147330578218610107452117356577625430755562888668621461214997212128,2.16042558e-167
-12.5625,1.0000003965124525389596029258035857572647877342625898801782386255951991064874883662199512562781737437713383615616998643855450145704307617335278479132286330214123799041319,2.16216410e-167
-12.5,1.0000004220851844916719541385233131052991372916869440492235805516074728780092785268029121408815179744017988473472523172857212752977357277119294579478571971537720733898351,2.16349662e-167
-12.4375,1.0000004493071994275191153043280576640985625281309591260920975405647027495474681223684996161086057993274860639132706552997391658745310275605971137133630738273575831878317,2.16445120e-167
-12.375,1.0000004782848647595786539285528696557200825798858998867247544605315727028746674678474283955333726811892924003078428547961676614386085824775167740468427408653979711240526,2.16494187e-167
-12.3125,1.0000005091314077166952339906786211707920561509344299846762381535992926313836797441008243877521939305635758910752205615847047066163882855941458622035187290690622434355698,2.16563877e-167
-12.25,1.0000005419673577245783016591735496966094510187791460691864358330712011445917668119314880041328034205501156603213803139387149340384825837046602377781470425836260071315655,2.16655416e-167
-12.1875,1.0000005769210173128358191344325382170252786931688472824872678299701191266954352978423372671740719863740218265888458726770213611537003520186347629327275593805454807666892,2.16914108e-167
-12.125,1.0000006141289633870174431947491669207691517934077516828623337772411293746449609688474564114764885278974795031826306256810914839188569738197208927113907422932545776653796,2.17790175e-167
-12.0625,1.00000065373658082325854654093444889229708022824573832019823692226394908856718005096829759810592935340857417410043682602871688591331854185944616362238375804276755719082,2.19738807e-167
-12,1.0000006958986304692659845076111782309769011806910940466905130810743633601162490052838389848912936104848121538105992505219024388956487141699170818698862855034499648205182,2.11145204e-167
-11.9375,1.0000007407798537696580763189458362678342909177699014456161794623694383170461983372892565915608559522192046411266516448656384093417154451298757888076845360447553997939722,2.12107251e-167
-11.875,1.0000007885556163765868794171729617442040113333394334801599637131766105493007983412792449888115516214752317545427188035553367307185468970669743503470012209009893471492205,2.13014196e-167
-11.8125,1.0000008394125932586858871621095513426080305436408587018217387505121747446078811130078709717167334750531267225383431050583089504327001416745716772465230661522591355950887,2.13841652e-167
-11.75,1.0000008935494979832917158024057701261653771298614022516668801492452061933969611459804618761363354470222920811528271254596142992090041328008038352297062238661234918751338,2.14562332e-167
-11.6875,1.0000009511778590192129044195013074498002922147033432885915045543924449767717513875904265951722588744220850848238940678041277967807343224884834363600649281631299655657491,2.21130388e-167
-11.625,1.0000010125228460907315626048261643147248305878905001705766263617725587041395851693412493472914264198451954619377580114852888035816528012779557024235473091169358203128073,2.16550936e-167
-11.5625,1.0000010778241498087359333922959705774893877821444260593865267061078153028199372465040313723784261394207258958198093632570882312894374852502755748035667243141728561997163,2.20221428e-167
-11.5,1.0000011473369180126511017445449466875151580896520598566525964874327303477666655194204590121543078681793969296168475166989270958029724689836605713743389933252396830156051,2.16432899e-167
-11.4375,1.0000012213327524779664895005563096879134358808997553436459539815427835828426763423649532607687827590525346305391908800420137790664411482742071247015798409417316117919997,2.26576198e-167
-11.375,1.0000013001007698795092100687511191973647200039734759598955007516677437915822131498611175256340432837470826807786640177108768942197516184062886520499632076375182174129085,2.19697716e-167
-11.3125,1.0000013839487311510931742722073941900051547561507952771277195636168929021931746350849476227306792389183953849349630380460669795865286271475268869032614544669555198301094,2.11162039e-167
-11.25,1.0000014732042436487544287551207384906239241238378405871141405630369663894800341926547980196359917086617258059459250469938012863234293508236056715084107133688786902659776,2.11861372e-167
-11.1875,1.0000015682160408084946202264657093498156226454446502690323619890601249477210920094903610397205529404554683196432045358443598292800142930013831739150244510797711058701199,2.21929167e-167
-11.125,1.0000016693553442913932896247026770469221283782792012340637251414342137028254870995751137980188957190635037235321795681798814103820155651382630583881988747208935534789183,2.21619546e-167
-11.0625,1.0000017770173139302821115143308319590493997262732097417511315352562791648017316625317904321335273665103352191814591407566221833976830293138314928748356287128419698334297,2.20766432e-167
-11,1.0000018916225911341403760263401160103440702363769058248397992351819678059883830507892459746654679020832095913309233858272445647127187509802402722205844970546555251900507,2.19730500e-167
-10.9375,1.000002013618941770289707984009819601021718176752228303261055112902418462422292614883717075435487833053980070703155004603609331269746813430911186135174995144014541651233,2.21294780e-167
-10.875,1.0000021434830049317394296956494950483658687323614453257947186521377631785014026254902129087079104363995359790860627897304949802404153178876395211640353726650852112251502,2.22705823e-167
-10.8125,1.0000022817221544091529244424567197716024892063477529167871918208617751751696559193151655675213429296184047618025934750120812216729024855909257923637867121743694878879109,2.23532405e-167
-10.75,1.0000024288764801254547719110132813699531445776224442553870064511777639548024825707209963307246407150990962527080177680411804923857663732477432296168841529545393887415382,2.23283737e-167
-10.6875,1.0000025855208972577631275758577823093581006214795027447061301708145943173012932569073974706535234974003736029901820539076614752653312633594063368652348927664146023195883,2.21930674e-167
-10.625,1.0000027522673912679026610838764126646005408439696163697426153139214081117230960060245758972238279893953963898813289032543766369512902471889275236967854526663577628408926,2.19907331e-167
-10.5625,1.000002929767407591133732611406800674414321877966538562900280403048503744305827373681016107897000001120476693117431741189215865301927720216198798913743479361258764349467,2.21982952e-167
-10.5,1.0000031187143952949461347379582904359493065601188912629675232012634582834628441218336189626884982939914723234708208005715308228146060623839514237911498965265996472704574,2.28232650e-167
-10.4375,1.000003319846514617960062339374516256954653675842392865957791719764043861989250095515791816676425286546886219341787391338818380301004065587198134121952660471513642036945,2.34033272e-167
-10.375,1.0000035339495189354366954633308708451762422281520889918121401131103612976996101486675600572431375649706651500710750527281142066223431919484114414910071454887346325987651,2.37786744e-167
-10.3125,1.0000037618598223750519792996287531290888708642717893599443627550346571040431626314371716014382741102938405684518561724880817166879644027683117472279928870325674605301758,2.37737055e-167
-10.25,1.0000040044677650270068731646610113178757349549779283163204358975547649438175639513496220815338111241161760033051937266244066439631165993927855795468773141687695519830464,2.21207154e-167
-10.1875,1.0000042627210884589724511724201660502989125833847224504715180721624059926687020233772530446404362047634407561061042823107705933342354300694065265296368778824430831810107,2.32028771e-167
-10.125,1.0000045376286350617051106836237333601231068119745389397528033139920584775740587783353205503051170574695758894130298691669125877004893303705191347959096608886677187558909,2.68031539e-167
-10.0625,1.0000048302642856185015110172978559420557593675055163839269161873667339731129959453267810791543927154923162990203566144573556122636965224185416162686200974713389186371652,2.58776672e-167
-10,1.0000051417711504142703503845820373332574236748293597855865599440743192672349315504194828511035272319776341162695921687186884760906832283959360094231251678641118813090827,2.74163909e-167
-9.9375,1.0000054733660301813552580542856678156192422963162081747039090094812819652364052533631470271360145937250011749380883296442244417873950027052438358957033158629051746450628,2.53799900e-167
-9.875,1.00000582634416422303903052277354168598337356387741063944548047971342209018084754340261728481363095755090818470588791843591447972124815029029837635946063998349272001012,2.42235779e-167
-9.8125,1.0000062020842841658079736655526789381083044143046026547891208146814784672789449429639002072403057275474896596635148680055477087397018769629085156132025140499164514116867,2.35185899e-167
-9.75,1.0000066020539929721074727145847235713584848804523163049188631218502105265701924835746954427140697478058190127663190266131727165431252057383207910952912517628930300374346,2.31474625e-167
-9.6875,1.0000070278154901008781301270544189886775172881403158582725504048151963617559413109119833220108694128721137272698833784039074801015116132735333664563567126061260058618519,2.37497434e-167
-9.625,1.0000074810316650382926476501436690139755142732349040549259683774708669762015312016940306347221493980271779544080430385542030516600909315569952097809491068251653476425659,2.24337660e-167
-9.5625,1.000007963472582840763118931085543366795865385579391515960607223288232487229464301831305731787988649833916790632747594387927235811824657584911524259136505944215772588521,2.31137939e-167
-9.5,1.0000084770223868416970107745875468114464959630361772442476131937598231458601236472764020712680499202771586103175977126835542806196742493095102747972770384320764424733124,2.43205323e-167
-9.4375,1.0000090236866452781985048301006212505630563678666628165561469395795778463712503349819248561016560094919632049627808781421850664347646160699641136721424726807506815981858,2.58889577e-167
-9.375,1.0000096056001702998172547539432010356792202833305143383295444208338121507637988984283189661518087263489110089752729896906970440337189564330217737436160679733041783743126,2.38502372e-167
-9.3125,1.0000102250353396347596758172029518784227180284061788968287698202850691678863247347214946268590785130528538277651305258692817498482534238699906911254736524122173957560824,2.31037519e-167
-9.25,1.0000108844109531162802839233372303911965772319140942476812042552305169262724175740717967051533310665757317609955260661356034716783104552270073487210577456212254615556061,2.20579591e-167
-9.1875,1.0000115863016583202229793280395089932699711032621375346253213365429124318938782161284838929501536919758014883997307309762105045343527365302577430002498000571340438075601,2.17830049e-167
-9.125,1.0000123334479817412426362499224757191835978228447683065387043908908058164934100072441226937270211988151250038869698871857194681464381826113353120424622633278674887512946,2.21557817e-167
-9.0625,1.0000131287670042478804001956663384054220321595127252614492882465637301786612358023959091468891906848154860430565692284545096800801819860071717452645521519804072679287391,2.10284988e-167
-9,1.0000139753637220136018339147879742733515878599690017205232907616606271755649544348559791521739156905739144108874876177962937820920408316311616871951237492350031738546559,2.27517535e-167
-8.9375,1.0000148765431367308007708739486674245406714022552859144974037011843922284490502468163754554260422441142681585402203829123071835606663283753100974897049413249015376690686,2.14790779e-167
-8.875,1.0000158358231216867635434320753543201470122381509667668385229500558088403370743922830293171459079110093195607266484719699304455027667835823539808987022210118389866701951,2.21247967e-167
-8.8125,1.0000168569481132243127927357678107235508623927241190636734956075774773649177915180733568552989906669426071738705968525208789214984116757198697902867445645401928633482779,2.18178919e-167
-8.75,1.0000179439036802354560779827345604360101045395819104772823382274293321023350224731584757113173657712598584285638070124420950280691967972352737268070605934027800211326694,2.07405543e-167
-8.6875,1.0000191009320276545340749121429914277640133804365742502811726056579784906302405533007272015753938754487256910432749454332741059418492152454965463206926042411631808634531,2.21628155e-167
