-3.75,3.8543601387278114396e-6
-3.875,5.8126569863067987456e-7
-4,6.6400779407740705946e-8
-4.25,3.2337495933108466138e-10
-4.5,3.1120426292260883418e-13
-4.75,3.7362745907436678485e-17
-5,3.0998497872897259361e-22
-5.25,8.3232911528985219921e-29
-5.5,2.7304708885780129028e-37
-5.75,3.1326779804069800761e-48
-6,2.5220830429002250762e-62
-6.25,1.8115674440504796799e-80
-6.5,8.2161688868157976253e-104
-6.75,7.8486678082625901286e-134
-7,2.0044222879849147802e-172
-7.25,5.0323214936551173495e-222
-7.5,9.2805290981623684379e-286
-7.75,1.2155961846133000909e-367
