x,pdf'(x),error,accurate_bits
-2.875,0.0090941446644213186583463940913147904,2.82246276E-25,75
-2.75,0.016058410334927381624081005354838459,2.82246276E-25,75
-2.625,0.025876366665296240886787606045197031,2.82246276E-25,76
-0.84375,0.062212549259345385220513968968785071,2.82246276E-25,77
-0.8125,0.058704033913885222851223060340092443,2.82246276E-25,77
-0.78125,0.055197710106167189249688562811428086,2.82246276E-25,77
-0.75,0.051702024217902317272039468658243629,2.82246276E-25,77
-0.71875,0.04822491283165967750996776316005351,2.82246276E-25,77
-0.6875,0.044773799905640349622936463834073598,2.82246276E-25,77
-0.65625,0.041355597402629258846005029767279327,2.82246276E-25,77
-0.625,0.037976709030008569323831547475577564,2.82246276E-25,77
-0.59375,0.034643036756740324555059310914038093,2.82246276E-25,77
-0.5625,0.031359989784805340927450187537477901,2.82246276E-25,76
-0.53125,0.028132495666225983026916281044589938,2.82246276E-25,76
-0.5,0.024965013272051424120448320486124434,2.82246276E-25,76
-0.46875,0.021861547336137934112668727754891186,2.82246276E-25,76
-0.4375,0.018825664313849450727451256046536173,2.82246276E-25,76
-0.40625,0.015860509313613103343008597378830383,2.82246276E-25,75
-0.375,0.012968823877308867825958792094461396,2.82246276E-25,75
-0.34375,0.010152964403508924448577403824971505,2.82246276E-25,75
-0.09375,-0.0094734064642070491690280382422143848,2.82246276E-25,75
-0.0625,-0.011554903166983093026483930748540879,2.82246276E-25,75
-0.03125,-0.013554006532674299009070611295869677,2.82246276E-25,75
