lambda,pdf,cdf,1-cdf,pdf_derivative
12.5,7.7718570100181105271e-3,9.0708598436775630050e-1,9.2914015632243699503e-2,-1.2268242847847486727e-3
13,7.1915866461572528046e-3,9.1082414902282322609e-1,8.9175850977176773907e-2,-1.0973502711603008823e-3
13.5,6.6716662460917206733e-3,9.1428762124929801688e-1,8.5712378750701983123e-2,-9.8493850303573441025e-4
14,6.2042483810755441377e-3,9.1750455904064115405e-1,8.2495440959358845950e-2,-8.8694076171150357003e-4
14.5,5.7826888280035436409e-3,9.2049950718907004347e-1,7.9500492810929956528e-2,-8.0117540399416460647e-4
15,5.4013369280103984573e-3,9.2329394458522379855e-1,7.6706055414776201447e-2,-7.2583641282304594986e-4
15.5,5.0553664025156413910e-3,9.2590673721186652774e-1,7.4093262788133472256e-2,-6.5942168884251411904e-4
16,4.7406381433296971811e-3,9.2835451484900244126e-1,7.1645485150997558734e-2,-6.0067623305480228709e-4
17,4.1911372143970710794e-3,9.3281220074559883439e-1,6.7187799254401165610e-2,-5.0214624075190757457e-4
18,3.7296910806918955009e-3,9.3676607926657048988e-1,6.3233920733429510114e-2,-4.2364035359588057252e-4
19,3.3387828254654301003e-3,9.4029505075601315408e-1,5.9704949243986845920e-2,-3.6039740293823056920e-4
20,3.0049793956922566167e-3,9.4346264685125708509e-1,5.6537353148742914908e-2,-3.0893462029090394544e-4
21,2.7178548458224304693e-3,9.4632054452028548747e-1,5.3679455479714512530e-2,-2.6666917740997538670e-4
22,2.4692270065767004073e-3,9.4891117014060104287e-1,5.1088829859398957128e-2,-2.3166115227128249458e-4
23,2.2526085854118386138e-3,9.5126965408765407345e-1,4.8730345912345926547e-2,-2.0243623997948872301e-4
24,2.0628071934785309651e-3,9.5342531530916948121e-1,4.6574684690830518785e-2,-1.7786168206874021057e-4
25,1.8956302704659889306e-3,9.5540280137214727067e-1,4.4597198627852729332e-2,-1.5705825282789891775e-4
26,1.7476648749684945817e-3,9.5722297292736548092e-1,4.2777027072634519077e-2,-1.3933702561296821080e-4
27,1.6161115692700714472e-3,9.5890359644643370439e-1,4.1096403553566295607e-2,-1.2415339859864883307e-4
28,1.4986578444598306452e-3,9.6045989162608323039e-1,3.9540108373916769605e-2,-1.1107329413390023491e-4
29,1.3933807623620016374e-3,9.6190496754858065928e-1,3.8095032451419340717e-2,-9.9748046768679522570e-5
30,1.2986714067753381942e-3,9.6325017291031331633e-1,3.6749827089686683664e-2,-8.9895562129833298685e-5
31,1.2131757709265939191e-3,9.6450537930018013210e-1,3.5494620699819867895e-2,-8.1286049382484212325e-5
32,1.1357481437060201038e-3,9.6567921189509996841e-1,3.4320788104900031593e-2,-7.3731122557844199510e-5
34,1.0013407895754710693e-3,9.6781212567837896509e-1,3.2187874321621034914e-2,-6.1190022427655263241e-5
36,8.8921503902102238443e-4,9.6969939440858871860e-1,3.0300605591411281399e-2,-5.1317730481093460950e-5
38,7.9474118788007065506e-4,9.7138072891395557489e-1,2.8619271086044425109e-2,-4.3444692626305321250e-5
40,7.1442539141655892490e-4,9.7288777992106059800e-1,2.7112220078939401998e-2,-3.7092242993707590276e-5
42,6.4559255084920939974e-4,9.7424607261999754330e-1,2.5753927380002456700e-2,-3.1912273902028818837e-5
44,5.8616746320175931159e-4,9.7547641215949722103e-1,2.4523587840502778971e-2,-2.7647671765488970881e-5
46,5.3452103727298031447e-4,9.7659592085286974801e-1,2.3404079147130251989e-2,-2.4105836661793535528e-5
48,4.8936044428570032386e-4,9.7761881454937682495e-1,2.2381185450623175043e-2,-2.1140626874333870069e-5
50,4.4964946787223781673e-4,9.7855699134518716429e-1,2.1443008654812835713e-2,-1.8639837421679130345e-5
52,4.1454995329208819514e-4,9.7942048332394984025e-1,2.0579516676050159752e-2,-1.6516380353279949204e-5
54,3.8337822025216865217e-4,9.8021780699650952301e-1,1.9782193003490476992e-2,-1.4701982946664278710e-5
56,3.5557223527422617421e-4,9.8095623790415377963e-1,1.9043762095846220370e-2,-1.3142625142052210207e-5
58,3.3066661990114471793e-4,9.8164202780772719117e-1,1.8357972192272808833e-2,-1.1795195584933060322e-5
60,3.0827343328144741553e-4,9.8228057795532755766e-1,1.7719422044672442337e-2,-1.0625012841885594360e-5
62,2.8806725694940143981e-4,9.8287657842424205622e-1,1.7123421575757943775e-2,-9.6039684467501426270e-6
64,2.6977351788249885297e-4,9.8343412102113905964e-1,1.6565878978860940353e-2,-8.7091220182580587902e-6
68,2.3802587684993272470e-4,9.8444774471522166067e-1,1.5552255284778339327e-2,-7.2259123240938137680e-6
72,2.1154447559997198167e-4,9.8534533282343013858e-1,1.4654667176569861422e-2,-6.0601455761831955553e-6
76,1.8922961461456178724e-4,9.8614564400800405854e-1,1.3854355991995941463e-2,-5.1314584558590535160e-6
80,1.7025363480496233698e-4,9.8686361302694164586e-1,1.3136386973058354137e-2,-4.3826663792844797433e-6
84,1.5398414340280340204e-4,9.8751127548179937097e-1,1.2488724518200629031e-2,-3.7723372962113554776e-6
88,1.3993133677139264978e-4,9.8809843710868482686e-1,1.1901562891315173141e-2,-3.2699609996338131832e-6
92,1.2771116060295070742e-4,9.8863316618582275623e-1,1.1366833814177243768e-2,-2.8527376360323476539e-6
96,1.1701909784245216771e-4,9.8912216121122797919e-1,1.0877838788772020803e-2,-2.5034002510450617145e-6
100,1.0761122400783727958e-4,9.8957102916328982690e-1,1.0428970836710173100e-2,-2.2087118126053020425e-6
104,9.9290317976179568627e-5,9.8998449868982484643e-1,1.0015501310175153571e-2,-1.9584107389019804496e-6
108,9.1895545047858268549e-5,9.9036658528845929624e-1,9.6334147115407037537e-3,-1.7444599638554237546e-6
112,8.5294700769117782111e-5,9.9072072061845792703e-1,9.2792793815420729664e-3,-1.5605047739254746097e-6
116,7.9378314852814613925e-5,9.9104985470191804366e-1,8.9501452980819563343e-3,-1.4014763872264531679e-6
120,7.4055122854580563640e-5,9.9135653741339745065e-1,8.6434625866025493514e-3,-1.2632986813116835108e-6
124,6.9248555025055356899e-5,9.9164298398898866782e-1,8.3570160110113321763e-3,-1.1426688587046255539e-6
128,6.4893989614233698971e-5,9.9191112809108069572e-1,8.0888719089193042815e-3,-1.0368917416475169730e-6
136,5.7329564276961237696e-5,9.9239908766129174989e-1,7.6009123387082501119e-3,-8.6142389747192901747e-7
144,5.1011830456252275788e-5,9.9283171770302689205e-1,7.1682822969731079510e-3,-7.2335562761967171521e-7
152,4.5681564852246390945e-5,9.9321790460210667385e-1,6.7820953978933261445e-3,-6.1324216776645806638e-7
160,4.1143501089987249555e-5,9.9356473125406111069e-1,6.4352687459388893068e-3,-5.2435969396492512670e-7
168,3.7248304594998386519e-5,9.9387791198716339602e-1,6.1220880128366039817e-3,-4.5183367550824820174e-7
176,3.3880203059598337866e-5,9.9416210752573471759e-1,5.8378924742652824112e-3,-3.9207209116403050247e-7
184,3.0948333017434253915e-5,9.9442115687114390556e-1,5.5788431288560944402e-3,-3.4238867287468885049e-7
192,2.8380580051794040211e-5,9.9465825057453575733e-1,5.3417494254642426660e-3,-3.0074743920518885641e-7
200,2.6119124435407442865e-5,9.9487606197342774362e-1,5.1239380265722563731e-3,-2.6558632173950741230e-7
208,2.4117173461402594427e-5,9.9507684781984848845e-1,4.9231521801515115526e-3,-2.3569338159639176524e-7
216,2.2336532629854615430e-5,9.9526252631187345372e-1,4.7374736881265462817e-3,-2.1011862044877589883e-7
224,2.0745778437110868418e-5,9.9543473823133600140e-1,4.5652617686639985958e-3,-1.8811027808958841526e-7
232,1.9318868387122408551e-5,9.9559489530372724822e-1,4.4051046962727517722e-3,-1.6906822896226889886e-7
240,1.8034072678820594431e-5,9.9574421878932053529e-1,4.2557812106794647023e-3,-1.5250948489158078686e-7
248,1.6873145260730751285e-5,9.9588377053147431163e-1,4.1162294685256883659e-3,-1.3804237933858693415e-7
256,1.5820674891723428725e-5,9.9601447812693466215e-1,3.9855218730653378497e-3,-1.2534705159867091677e-7
272,1.3990665724864535394e-5,9.9625251967232171275e-1,3.7474803276782872449e-3,-1.0426538267245525137e-7
288,1.2460421241600368611e-5,9.9646377440220669668e-1,3.5362255977933033154e-3,-8.7654771790348324376e-8
304,1.1167920905876886160e-5,9.9665251845418798344e-1,3.3474815458120165610e-3,-7.4390720941585462815e-8
320,1.0066383575245529757e-5,9.9682216441973902675e-1,3.1778355802609732454e-3,-6.3671593740645223192e-8
336,9.1199871765231137521e-6,9.9697546873961501914e-1,3.0245312603849808520e-3,-5.4915478185958153312e-8
352,8.3009275581816554221e-6,9.9711468209192784473e-1,2.8853179080721552650e-3,-4.7693037741071878938e-8
368,7.5873583686858250187e-6,9.9724166024732731371e-1,2.7583397526726862894e-3,-4.1682821091520166109e-8
