x,pdf'(x),error,accurate_bits
1.7179869184e10,-3.9443045414720440314818490833338772e-31,4.63163880E-53,73
3.4359738368e10,-4.9303806675340746279227051449579842e-32,5.78954840E-54,73
6.8719476736e10,-6.1629758284148647708584918388599409e-33,7.23693543E-55,73
1.37438953472e11,-7.7037197816503189162018217102837955e-34,9.04616925E-56,73
2.74877906944e11,-9.6296497245723869108239936912870481e-35,1.13077115E-56,73
5.49755813888e11,-1.2037062154113383832411151093055228e-35,1.41346394E-57,73
1.099511627776e12,-1.5046327691611961179013955345588515e-36,1.76682992E-58,73
2.199023255552e12,-1.8807909613853560946120267350766908e-37,2.20853741E-59,73
4.398046511104e12,-2.350988701689246638694615154510504e-38,2.76067176E-60,73
8.796093022208e12,-2.9387358770843332663910536975577195e-39,3.45083970E-61,73
1.7592186044416e13,-3.6734198463379667303493571037379116e-40,4.31354962E-62,73
3.5184372088832e13,-4.5917748079112808752534263151886753e-41,5.39193702E-63,73
7.0368744177664e13,-5.7397185098819455206499696378251413e-42,6.73992128E-64,73
1.40737488355328e14,-7.1746481373478536596989679938505107e-43,8.42490160E-65,73
2.81474976710656e14,-8.9683101716818894190977835091066921e-44,1.05311270E-65,73
5.62949953421312e14,-1.1210387714600490579899779373601066e-44,1.31639087E-66,73
1.125899906842624e15,-1.4012984643249417847848976561935672e-45,1.64548859E-67,73
