x,pdf'(x),error,accurate_bits
16384,-4.554514358102700677365979455845742e-13,9.92776143E-35,72
32768,-5.6891014795592229473983303613797548e-14,9.06660395E-36,72
65536,-7.1086269295303848427622283362639233e-15,9.29389457E-37,73
131072,-8.883924605104107240847923398550484e-16,1.03558233E-37,73
262144,-1.1103655983938481844528144623144165e-16,1.21593364E-38,73
524288,-1.3878733905449529667134640985708883e-17,1.47086029E-39,73
1048576,-1.7347860461252436042381199053549545e-18,1.80788766E-40,73
2097152,-2.1684456010154093300883837985285935e-19,2.24064777E-41,73
4194304,-2.7105325599116797002539813153808842e-20,2.78877765E-42,73
8388608,-3.3881495842851158785253864452107262e-21,3.47843515E-43,73
16777216,-4.235176383222104685444226241848714e-22,4.34332235E-44,73
33554432,-5.2939635277557655216296522302591231e-23,5.42619491E-45,73
67108864,-6.6174498601062487653863354684086426e-24,6.78089044E-46,73
1.34217728e8,-8.2718093534863446608436969845406635e-25,8.47495202E-47,73
2.68435456e8,-1.0339759754482331662281748217066915e-25,1.05929626E-47,73
5.36870912e8,-1.2924698432182641564482831314329919e-26,1.32407476E-48,73
1.073741824e9,-1.6155872220865244107977171887838113e-27,1.65506490E-49,73
