lambda,cdf,ccdf
-1.84375,2.2222740292334226879284548149879817118460178992077711355039955859e-2,9.7777725970766577312071545185012018288153982100792228864496004414e-1
-1.8125,2.4164634991302465655747030873014220310006740327196727005267276773e-2,9.7583536500869753434425296912698577968999325967280327299473272323e-1
-1.78125,2.6216782489915050962384364643131078276819107390836820251838146741e-2,9.7378321751008494903761563535686892172318089260916317974816185326e-1
-1.75,2.8380772808181761102580936480012933534970293062302945730308744493e-2,9.7161922719181823889741906351998706646502970693769705426969125551e-1
-1.71875,3.0657940023849692471098988543575607763536018802555343976719055755e-2,9.6934205997615030752890101145642439223646398119744465602328094425e-1
-1.6875,3.3049358254502993017950461968226663069676339113223990722663324460e-2,9.6695064174549700698204953803177333693032366088677600927733667554e-1
-1.65625,3.5555839310310134036590050565404886251582198337479386706258871912e-2,9.6444416068968986596340994943459511374841780166252061329374112809e-1
-1.625,3.8177931966667932412345557326084772206800655290897941980438177362e-2,9.6182206803333206758765444267391522779319934470910205801956182264e-1
-1.59375,4.0915922792269915127891596754612417607565775997097135218084176324e-2,9.5908407720773008487210840324538758239243422400290286478191582368e-1
-1.5625,4.3769838456241946501691218650693772998711164538637069326704908221e-2,9.5623016154375805349830878134930622700128883546136293067329509178e-1
-1.53125,4.6739449427953712364148944688640180527764060909678570409869297249e-2,9.5326055057204628763585105531135981947223593909032142959013070275e-1
-1.5,4.9824274974910163225860705920123446742863374039010293864418543646e-2,9.5017572502508983677413929407987655325713662596098970613558145635e-1
-1.46875,5.3023589357702407184110419233384878485492579010747268657424836154e-2,9.4697641064229759281588958076661512151450742098925273134257516385e-1
-1.4375,5.6336429116277958238139224932500363443964227999868634760084977337e-2,9.4366357088372204176186077506749963655603577200013136523991502266e-1
-1.40625,5.9761601338680420966973083995096336527016044036512258718820154858e-2,9.4023839866131957903302691600490366347298395596348774128117984514e-1
-1.375,6.3297692801797284634085571527628144981094083921474857959598821569e-2,9.3670230719820271536591442847237185501890591607852514204040117843e-1
-1.34375,6.6943079873418180534042127208577406239604641605070307783212181485e-2,9.3305692012658181946595787279142259376039535839492969221678781851e-1
-1.3125,7.0695939065913201439569925191944828910896790851865341029311456459e-2,9.2930406093408679856043007480805517108910320914813465897068854354e-1
-1.28125,7.4554258133955409556318396273810583839909306695044896642267264243e-2,9.2544574186604459044368160372618941616009069330495510335773273576e-1
-1.25,7.8515847611795490634310973278446200666236519002951803879865538472e-2,9.2148415238820450936568902672155379933376348099704819612013446153e-1
-1.21875,8.2578352689512639173481024997618974736512000578230801684861069835e-2,9.1742164731048736082651897500238102526348799942176919831513893017e-1
-1.1875,8.6739265332280421022277589163351684676634419427775490880713822169e-2,9.1326073466771957897772241083664831532336558057222450911928617783e-1
-1.15625,9.0995936551870928446184823413716085973134433191935889019342940975e-2,9.0900406344812907155381517658628391402686556680806411098065705903e-1
-1.125,9.5345588745253049414428018544748843240303473644214220960031821955e-2,9.0465441125474695058557198145525115675969652635578577903996817805e-1
-1.09375,9.9785328021106982338605778481262200115955185144761999202287549481e-2,9.0021467197889301766139422151873779988404481485523800079771245052e-1
-1.0625,1.0431215644127179980111706270809206867811752639806267054562632101e-1,8.9568784355872820019888293729190793132188247360193732945437367899e-1
-1.03125,1.0892298411046972980250890882894855098561490373249116380121943574e-1,8.9107701588953027019749109117105144901438509626750883619878056426e-1
-1,1.1361464105402330180982509971212439476490962683620541296316570105e-1,8.8638535894597669819017490028787560523509037316379458703683429896e-1
-0.984375,1.1598977085371046267776632141575580749204290899597913227866653276e-1,8.8401022914628953732223367858424419250795709100402086772133346724e-1
-0.96875,1.1838388882962271049123640783857209455412604048459680867933603079e-1,8.8161611117037728950876359216142790544587395951540319132066396921e-1
-0.953125,1.2079658133211646636074224339787477960363406113950193037990702019e-1,8.7920341866788353363925775660212522039636593886049806962009297981e-1
-0.9375,1.2322743182544340029952648590492848534263498147408108831274755710e-1,8.7677256817455659970047351409507151465736501852591891168725244290e-1
-0.921875,1.2567602122079904065063604782764326256376972084478263320485490896e-1,8.7432397877920095934936395217235673743623027915521736679514509104e-1
-0.90625,1.2814192820300004746221915206458852850495632947608171849843324428e-1,8.7185807179699995253778084793541147149504367052391828150156675572e-1
-0.890625,1.3062472955056617282630795199485533910286783526746354924431330195e-1,8.6937527044943382717369204800514466089713216473253645075568669805e-1
-0.875,1.3312400044900388004603268929240173592990035202710199982970887795e-1,8.6687599955099611995396731070759826407009964797289800017029112205e-1
-0.859375,1.3563931479710895705170248192889133442763509140987610501900476318e-1,8.6436068520289104294829751807110866557236490859012389498099523682e-1
-0.84375,1.3817024550612521682896733803426339280782556598194026589574646468e-1,8.6182975449387478317103266196573660719217443401805973410425353532e-1
-0.828125,1.4071636479161551104726866776889490265664051249761257244250714562e-1,8.5928363520838448895273133223110509734335948750238742755749285438e-1
-0.8125,1.4327724445791977793251764149553029952313867309013495575557733880e-1,8.5672275554208022206748235850446970047686132690986504424442266121e-1
-0.796875,1.4585245617509268995618792277832341635422219394779125269914929910e-1,8.5414754382490731004381207722167658364577780605220874730085070090e-1
-0.78125,1.4844157174823065208871903266901138517383471763285322866235068598e-1,8.5155842825176934791128096733098861482616528236714677133764931402e-1
-0.765625,1.5104416337911442073734471423587296116298230218654116139650083320e-1,8.4895583662088557926265528576412703883701769781345883860349916680e-1
-0.75,1.5365980392010946302292036973777595716238973444510473400150857013e-1,8.4634019607989053697707963026222404283761026555489526599849142987e-1
-0.734375,1.5628806712028135397428734585151215645758438477272880876535748782e-1,8.4371193287971864602571265414848784354241561522727119123464251218e-1
-0.71875,1.5892852786369801586859198024164928962226471398076577927360975370e-1,8.4107147213630198413140801975835071037773528601923422072639024630e-1
-0.703125,1.6158076239990444161820101540473359839525159891680298135156114365e-1,8.3841923760009555838179898459526640160474840108319701864843885635e-1
-0.6875,1.6424434856656871691037925800575951532579553294692897732853024256e-1,8.3575565143343128308962074199424048467420446705307102267146975744e-1
-0.671875,1.6691886600431066952872477038415045751296856578653550613392800862e-1,8.3308113399568933047127522961584954248703143421346449386607199138e-1
-0.65625,1.6960389636373633624536374981851755898459024139375953007835213155e-1,8.3039610363626366375463625018148244101540975860624046992164786845e-1
-0.640625,1.7229902350471265659320631974604320439148741927489930783723208857e-1,8.2770097649528734340679368025395679560851258072510069216276791143e-1
-0.625,1.7500383368792738870664854916962764045841799833983725726269994280e-1,8.2499616631207261129335145083037235954158200166016274273730005720e-1
-0.609375,1.7771791575878920640790731719478873284624492267324730932322420119e-1,8.2228208424121079359209268280521126715375507732675269067677579881e-1
-0.59375,1.8044086132373229100017724062882795469283268884795312660245732190e-1,8.1955913867626770899982275937117204530716731115204687339754267810e-1
-0.578125,1.8317226491899848891529235415466727267347120321668248107635353840e-1,8.1682773508100151108470764584533272732652879678331751892364646160e-1
-0.5625,1.8591172417197828137410601722803614068044969925700374002303548361e-1,8.1408827582802171862589398277196385931955030074299625997696451639e-1
-0.546875,1.8865883995519941918584981218334601521268425729723499692784450123e-1,8.1134116004480058081415018781665398478731574270276500307215549878e-1
-0.53125,1.9141321653305912998660756110179660618060102364686658519330325614e-1,8.0858678346694087001339243889820339381939897635313341480669674386e-1
-0.515625,1.9417446170140232236798581128595589368945427564041207052388806515e-1,8.0582553829859767763201418871404410631054572435958792947611193485e-1
-0.5,1.9694218692005420768249747659269478321531818629302451074981758904e-1,8.0305781307994579231750252340730521678468181370697548925018241096e-1
-0.484375,1.9971600743842125239403042217410927499760432883246111527125639433e-1,8.0028399256157874760596957782589072500239567116753888472874360567e-1
-0.46875,2.0249554241427937850981487943172494559714470263806855617143113864e-1,7.9750445758572062149018512056827505440285529736193144382856886136e-1
-0.453125,2.0528041502587286393036203086155510966154517631030020458342148570e-1,7.9471958497412713606963796913844489033845482368969979541657851430e-1
-0.4375,2.0807025257745147567081876621833201744819675206069155226724578791e-1,7.9192974742254852432918123378166798255180324793930844773275421209e-1
-0.421875,2.1086468659837701410269892211102757573579011983988521412347307754e-1,7.8913531340162298589730107788897242426420988016011478587652692246e-1
-0.40625,2.1366335293593367291955002270650940230014986064317946723259793948e-1,7.8633664706406632708044997729349059769985013935682053276740206052e-1
-0.390625,2.1646589184197944468980669930658223837586547228093401515958586170e-1,7.8353410815802055531019330069341776162413452771906598484041413830e-1
-0.375,2.1927194805357824278712812657728957139473341436747077234128619252e-1,7.8072805194642175721287187342271042860526658563252922765871380748e-1
-0.359375,2.2208117086775448421627684389290877601535394745542608993613671818e-1,7.7791882913224551578372315610709122398464605254457391006386328182e-1
-0.34375,2.2489321421051360124428535057519827939103120814638322713667277770e-1,7.7510678578948639875571464942480172060896879185361677286332722230e-1
-0.328125,2.2770773670027333945784475512155835997945050773560017344716686942e-1,7.7229226329972666054215524487844164002054949226439982655283313058e-1
-0.3125,2.3052440170585177231253894719330079221650599648227039286124172919e-1,7.6947559829414822768746105280669920778349400351772960713875827081e-1
-0.296875,2.3334287739915873355966309442127450658193957545514232417746327202e-1,7.6665712260084126644033690557872549341806042454485767582253672798e-1
-0.28125,2.3616283680273785497448983851840653878490683295184088548288551403e-1,7.6383716319726214502551016148159346121509316704815911451711448597e-1
-0.265625,2.3898395783230661308503818114302412923164688160780941213460812040e-1,7.6101604216769338691496181885697587076835311839219058786539187960e-1
-0.25,2.4180592333444175028692454767936315870351025311191846450801585598e-1,7.5819407666555824971307545232063684129648974688808153549198414402e-1
-0.234375,2.4462842111955715763869535141030007436257914770109809881717438193e-1,7.5537157888044284236130464858969992563742085229890190118282561807e-1
-0.21875,2.4745114399032080319489959048921269745800595500377767825602629842e-1,7.5254885600967919680510040951078730254199404499622232174397370158e-1
-0.203125,2.5027378976565657499010991412482837782162785664149455928382242845e-1,7.4972621023434342500989008587517162217837214335850544071617757155e-1
-0.1875,2.5309606130047599537131419379298835504338011309035177408190761503e-1,7.4690393869952400462868580620701164495661988690964822591809238497e-1
-0.171875,2.5591766650128366651082670564096102275683215718508823826086324824e-1,7.4408233349871633348917329435903897724316784281491176173913675176e-1
-0.15625,2.5873831833779903841938718358167244905416022498546409444458814206e-1,7.4126168166220096158061281641832755094583977501453590555541185794e-1
-0.140625,2.6155773485073566299654455868133314219614431032191295305981459755e-1,7.3844226514926433700345544131866685780385568967808704694018540245e-1
-0.125,2.6437563915587752255124946456009703323118988393312318476890861377e-1,7.3562436084412247744875053543990296676881011606687681523109138623e-1
-0.109375,2.6719175944459031031779405136840620390520330724214836525186897008e-1,7.3280824055540968968220594863159379609479669275785163474813102992e-1
-0.09375,2.7000582898090370486792366482630189442402687784007521308257649242e-1,7.2999417101909629513207633517369810557597312215992478691742350758e-1
-0.078125,2.7281758609529873063622955182533571715648383948202597913123543916e-1,7.2718241390470126936377044817466428284351616051797402086876456084e-1
-0.0625,2.7562677417533224326216749621600169731698329408509632273593960788e-1,7.2437322582466775673783250378399830268301670591490367726406039212e-1
-0.046875,2.7843314165322843091312206021177388241600309731023661608461398353e-1,7.2156685834677156908687793978822611758399690268976338391538601647e-1
-0.03125,2.8123644199056499057360621872193363245532530905787584299586287424e-1,7.1876355800943500942639378127806636754467469094212415700413712576e-1
-0.015625,2.8403643366017933043583401055998095756364016937366149910459716329e-1,7.1596356633982066956416598944001904243635983062633850089540283671e-1
0,2.8683288012541777456762653857930445793622478463503060985836714355e-1,7.1316711987458222543237346142069554206377521536496939014163285645e-1
0.015625,2.8962554981684831212405232238548583828988315091410518966149541430e-1,7.1037445018315168787594767761451416171011684908589481033850458570e-1
0.03125,2.9241421610655494827404075098053901800736424648671835148993812820e-1,7.0758578389344505172595924901946098199263575351328164851006187180e-1
0.046875,2.9519865728012918511072749934502936114367149390222872088437190843e-1,7.0480134271987081488927250065497063885632850609777127911562809157e-1
0.0625,2.9797865650647159510496095897150684326465345330551344067755630775e-1,7.0202134349352840489503904102849315673534654669448655932244369225e-1
0.078125,3.0075400180551385377688181399157068402194010873239058381086050010e-1,6.9924599819448614622311818600842931597805989126760941618913949990e-1
0.09375,3.0352448601396897847302604012698253912043407326541342562899971293e-1,6.9647551398603102152697395987301746087956592673458657437100028707e-1
0.109375,3.0628990674921488236851126154913570641474439454311349135479116183e-1,6.9371009325078511763148873845086429358525560545688650864520883817e-1
0.125,3.0905006637141370264828736235507128601127071722047960787709370224e-1,6.9094993362858629735171263764492871398872928277952039212290629776e-1
0.140625,3.1180477194396670451127823650741720507659372578187826991594391625e-1,6.8819522805603329548872176349258279492340627421812173008405608375e-1
0.15625,3.1455383519240190312030357667474818268386354422320235772696323342e-1,6.8544616480759809687969642332525181731613645577679764227303676658e-1
0.171875,3.1729707246178888851382697690385134606285577616261037710061247351e-1,6.8270292753821111148617302309614865393714422383738962289938752649e-1
0.1875,3.2003430467277268812927419278304379647092007130983001383407325784e-1,6.7996569532722731187072580721695620352907992869016998616592674216e-1
0.203125,3.2276535727631586200041865071199046726826809480629142113212181215e-1,6.7723464272368413799958134928800953273173190519370857886787818785e-1
0.21875,3.2549006020723540064422448053146448364847230372187783643855472338e-1,6.7450993979276459935577551946853551635152769627812216356144527662e-1
0.234375,3.2820824783661838863968266511252414757004051603437862757518793663e-1,6.7179175216338161136031733488747585242995948396562137242481206337e-1
0.25,3.3091975892319781116010470342254320448466000771620303154188602790e-1,6.6908024107680218883989529657745679551533999228379696845811397210e-1
0.265625,3.3362443656376731924229789171243356607568516310736319981773173616e-1,6.6637556343623268075770210828756643392431483689263680018226826384e-1
0.28125,3.3632212814271123511617940028126356166522491544174406713877428948e-1,6.6367787185728876488382059971873643833477508455825593286122571052e-1
