x,pdf'(x),error,accurate_bits
-2.62916563729442102561,0.025502889128611671086746895233532976,2.25797034E-24,73
-2.44950010103172525499,0.044181460034015421140684491988666754,2.25797034E-24,74
-2.29064564961382595297,0.063746205934680095394594868194958336,2.25797034E-24,74
-2.10489790934939769338,0.086714207334790203959449097446398451,2.25797034E-24,75
-1.79957402870039992314,0.11362537139673199335490286916412463,2.25797034E-24,75
-1.49825415177780273396,0.11720805523642934222655240971042827,2.25797034E-24,75
-1.09225452805484635423,0.089037710873680679931392107014375522,2.25797034E-24,75
-0.77188422256801273027,0.054148548919671744573862916769322,2.25797034E-24,74
-0.48277711307393456125,0.023246436279717941692569837491120596,2.25797034E-24,73
-0.20464065154575316905,-0.0014174570840761701977943077680177789,2.25797034E-24,69
0.073877362330763778128,-0.019683931927060935375083379156885141,1.12107246E-22,67
0.361135283101730744896,-0.032068133533053552247905582174594718,6.54732327E-23,69
0.664768389237266480219,-0.039319660665795538826738311097186764,1.12437567E-22,68
0.992995803490664167419,-0.042261669732532316543693976180558166,3.02513214E-23,71
1.35578042099080132503,-0.041726683576697546653668585731059549,2.25083382E-22,68
1.76629275098246523993,-0.038529761338698159581825455492795423,1.88541335E-22,67
2.24319477339787288381,-0.033456492896472436369723019565659264,2.32076657E-22,67
2.81468113996303570812,-0.027255937829564439792059092422254273,1.30984710E-24,74
3.52636966712139778598,-0.020633170847443232602462339252131917,2.41190356E-22,67
4.45839461019464834851,-0.014237336470852356169941827058588475,6.37200569E-23,68
5.76761029823977006164,-0.0086405105950046296210948350261570503,7.81711417E-23,66
7.81274710480049833585,-0.0043004172554502022850900057095681963,1.15636730E-23,68
11.649284684474405569996,-0.0014958456459155682083139295647091009,9.57714352E-26,74
22.450278078872781782888,-2.1786062317013474689721110379875392e-4,8.09765795E-25,68
43.202525183847707366482,-2.9251925800200964380901944211358493e-5,7.06697182E-29,78
104.156361812207433543595,-1.9494107123703715694282446205462511e-6,5.80691679E-29,75
204.862416150123003839536,-2.4685509759439969498005311619524761e-7,1.89033702E-29,73
405.562095010331006820385,-3.1054041407109069049961986028591819e-8,3.76737586E-30,73
1006.482330369225631256342,-1.9949932326180479392809849875783919e-9,8.11120730E-34,81
