x,pdf'(x),error,accurate_bits
-3.5,8.3574164594805236469587826362361589092315247504932735322313752447403343373e-5,3.52807834E-26,71
-3.625,2.0000080919190531586889573264128834772534127909012547408894875507330308854e-5,3.52807834E-26,69
-3.75,3.854360138727811439562559062210401372870912969459831724089208530215419615e-6,3.52807834E-26,66
-3.875,5.8126569863067987456070639193366134503749501831624281553023515638619422498e-7,3.52807834E-26,64
-4,6.6400779407740705950799387449470690284902984772703739900685433861204319298e-8,3.52807834E-26,61
