u = -log2(ccdf),v = log2(x),g,gg
9.5114237285284058095e0,9.5235619560570128723e0,9.9298531432736690791e-1,3.8795466508568615522e-3
9.5732506325777268310e0,9.5849625007211561815e0,9.9322139863760452080e-1,3.7579566061187269727e-3
9.6325396804097109574e0,9.6438561897747246957e0,9.9344082537691317602e-1,3.6444798595481753325e-3
9.6894909092675086786e0,9.7004397181410921604e0,9.9364534655155520143e-1,3.5383046836407789648e-3
9.7442816082978727578e0,9.7548875021634685444e0,9.9383647334250064800e-1,3.4387257883808152828e-3
9.7970696412385408349e0,9.8073549220576041074e0,9.9401551645646635229e-1,3.3451272844816418722e-3
9.8479961838816381425e0,9.8579809951275721207e0,9.9418361858219546100e-1,3.2569688329050396069e-3
9.8971879957862736740e0,9.9068905956085185293e0,9.9434178070407320351e-1,3.1737743046435560827e-3
9.9447593181956736428e0,9.9541963103868752088e0,9.9449088359318667928e-1,3.0951224340424977861e-3
9.9908134696089292235e0,1.0000000000000000000e1,9.9463170548044240892e-1,3.0206390672024346957e-3
1.0078736813066016458e1,1.0087462841250339408e1,9.9489119178478657352e-1,2.8828790324919920140e-3
1.0161612613567808168e1,1.0169925001442312363e1,9.9512491290854307205e-1,2.7582220524563500285e-3
1.0239988862148493511e1,1.0247927513443585494e1,9.9533662023896003980e-1,2.6448290031202114658e-3
1.0314328907529198697e1,1.0321928094887362348e1,9.9552936156487732327e-1,2.5411944846047180720e-3
1.0385028034674966169e1,1.0392317422778760289e1,9.9570563985850260467e-1,2.4460737859513458904e-3
1.0452426173667191644e1,1.0459431618637297256e1,9.9586753070800137311e-1,2.3584283254026694286e-3
1.0516817774503820098e1,1.0523561956057012872e1,9.9601677048322998563e-1,2.2773843154123397176e-3
1.0578459573880651409e1,1.0584962500721156181e1,9.9615482343384382382e-1,2.2022010445432070934e-3
1.0637576771874665670e1,1.0643856189774724696e1,9.9628293338828152583e-1,2.1322462538366649207e-3
1.0694367993826530096e1,1.0700439718141092160e1,9.9640216403917790538e-1,2.0669768159718251272e-3
1.0749009313285196646e1,1.0754887502163468544e1,9.9651343066089139255e-1,2.0059234260063107808e-3
1.0801657541455059346e1,1.0807354922057604107e1,9.9661752531977165541e-1,1.9486783606994698019e-3
1.0852452937987311713e1,1.0857980995127572121e1,9.9671513708874290234e-1,1.8948856092238308094e-3
1.0901521461117254958e1,1.0906890595608518529e1,9.9680686838833051990e-1,1.8442328539232178555e-3
1.0948976647997530039e1,1.0954196310386875209e1,9.9689324829639624740e-1,1.7964449071507688315e-3
1.0994921195838465052e1,1.1000000000000000000e1,9.9697474346529273206e-1,1.7512783035478441649e-3
1.1082642787358728848e1,1.1087462841250339408e1,9.9712468662294047781e-1,1.6679677171424710874e-3
1.1165337103104171519e1,1.1169925001442312363e1,9.9725948922849659746e-1,1.5928349390260536763e-3
1.1243549154466240572e1,1.1247927513443585494e1,9.9738138545772740890e-1,1.5247005557235924258e-3
1.1317739874153269798e1,1.1321928094887362348e1,9.9749218562631007146e-1,1.4626045238494836169e-3
1.1388302566571649203e1,1.1392317422778760289e1,9.9759337281925218123e-1,1.4057570363134151200e-3
1.1455575522137647278e1,1.1459431618637297256e1,9.9768617412347791785e-1,1.3535020952403447381e-3
1.1519851821245163209e1,1.1523561956057012872e1,9.9777161394793492512e-1,1.3052901026175984731e-3
1.1581387047252870592e1,1.1584962500721156181e1,9.9785055449107291116e-1,1.2606569580755493872e-3
1.1640405421798969539e1,1.1643856189774724696e1,9.9792372684173589811e-1,1.2192079235643281299e-3
1.1697104734505439433e1,1.1700439718141092160e1,9.9799175515674636922e-1,1.1806050284159873735e-3
1.1751660340629932613e1,1.1754887502163468544e1,9.9805517565456786459e-1,1.1445571371249677164e-3
1.1804228430440330929e1,1.1807354922057604107e1,9.9811445168114838767e-1,1.1108120430072979590e-3
1.1854948723934286921e1,1.1857980995127572121e1,9.9816998576702577014e-1,1.0791501196960828484e-3
1.1903946708001970460e1,1.1906890595608518529e1,9.9822212935636504545e-1,1.0493791824039639239e-3
1.1951335506204955832e1,1.1954196310386875209e1,9.9827119071770243887e-1,1.0213302972607592340e-3
1.1997217451269841027e1,1.2000000000000000000e1,9.9831744142216433419e-1,9.9485433997119581820e-4
1.2998486991090289555e1,1.3000000000000000000e1,9.9907392162394463060e-1,5.5664680304997740344e-4
1.3999182568715819854e1,1.4000000000000000000e1,9.9949460531063636987e-1,3.0781584828440678217e-4
1.4999560800602284567e1,1.5000000000000000000e1,9.9972613655174012524e-1,1.6861910155929768098e-4
1.5999765151814344453e1,1.6000000000000000000e1,9.9985248829586128775e-1,9.1654798744696996458e-5
1.6999874949590254910e1,1.7000000000000000000e1,9.9992095496601214774e-1,4.9497004834307654567e-5
1.7999933661002874665e1,1.8000000000000000000e1,9.9995783310412479724e-1,2.6582432527835656681e-5
1.8999964923415483971e1,1.9000000000000000000e1,9.9997759441815856079e-1,1.4207931248716716311e-5
1.9999981508108832838e1,2.0000000000000000000e1,9.9998813615664135541e-1,7.5622520152218060496e-6
2.0999990277238702056e1,2.1000000000000000000e1,9.9999373755588772958e-1,4.0102491303456439048e-6
2.1999994900206820306e1,2.2000000000000000000e1,9.9999670351771328294e-1,2.1196804961919404180e-6
2.2999997330895814405e1,2.3000000000000000000e1,9.9999826912899767212e-1,1.1171166435118550074e-6
2.3999998605843733767e1,2.4000000000000000000e1,9.9999909324963589406e-1,5.8719608394776629403e-7
2.4999999273119674919e1,2.5000000000000000000e1,9.9999952596740372731e-1,3.0791680285110104026e-7
2.5999999621658712172e1,2.6000000000000000000e1,9.9999975265499922053e-1,1.6111774882669327676e-7
2.6999999803378785330e1,2.7000000000000000000e1,9.9999987116314944387e-1,8.4138539071869531055e-8
2.7999999897964105052e1,2.8000000000000000000e1,9.9999993299939993715e-1,4.3859099399758269598e-8
2.8999999947119408107e1,2.9000000000000000000e1,9.9999996520861265319e-1,2.2824463961858127690e-8
2.9999999972628381677e1,3.0000000000000000000e1,9.9999998195876268874e-1,1.1859688930522195433e-8
3.0999999985848529604e1,3.1000000000000000000e1,9.9999999065660953056e-1,6.1535728910134453105e-9
3.1999999992691434173e1,3.2000000000000000000e1,9.9999999516691885971e-1,3.1886506452458745371e-9
3.2999999996229301769e1,3.3000000000000000000e1,9.9999999750276647739e-1,1.6502574189174550053e-9
3.3999999998056443224e1,3.4000000000000000000e1,9.9999999871103676256e-1,8.5309475667032668163e-10
3.4999999998999117782e1,3.5000000000000000000e1,9.9999999933534514319e-1,4.4053040160729476510e-10
3.5999999999485006976e1,3.6000000000000000000e1,9.9999999965758595255e-1,2.2725671237829016239e-10
3.6999999999735227530e1,3.7000000000000000000e1,9.9999999982374966677e-1,1.1712411196720826252e-10
3.7999999999863975786e1,3.8000000000000000000e1,9.9999999990935317862e-1,6.0309933858682890793e-11
3.8999999999930168904e1,3.9000000000000000000e1,9.9999999995341576194e-1,3.1028905815267022234e-11
3.9999999999964174957e1,4.0000000000000000000e1,9.9999999997607746726e-1,1.5951422364886967287e-11
4.0999999999981632731e1,4.1000000000000000000e1,9.9999999998772352679e-1,8.1941959148285815139e-12
4.1999999999990588992e1,4.2000000000000000000e1,9.9999999999370415994e-1,4.2063402862652044320e-12
4.2999999999995180809e1,4.3000000000000000000e1,9.9999999999677327835e-1,2.1577914506909760731e-12
4.3999999999997533561e1,4.4000000000000000000e1,9.9999999999834723821e-1,1.1062061130654694651e-12
4.4999999999998738359e1,4.5000000000000000000e1,9.9999999999915391864e-1,5.6675828199850164214e-13
4.5999999999999354969e1,4.6000000000000000000e1,9.9999999999956710910e-1,2.9020674706408630626e-13
4.6999999999999670379e1,4.7000000000000000000e1,9.9999999999977862940e-1,1.4851711723838205726e-13
4.7999999999999831637e1,4.8000000000000000000e1,9.9999999999988685206e-1,7.5965318210436438983e-14
4.8999999999999914042e1,4.9000000000000000000e1,9.9999999999994219476e-1,3.8836095200707741366e-14
4.9999999999999956133e1,5.0000000000000000000e1,9.9999999999997048170e-1,1.9844698985772433201e-14
1.2800000000000000000e2,1.2800000000000000000e2,1.0000000000000000000e0,0.0000000000000000000e0
