lambda,pdf,error
-4.875,3.2903901936494224981876768015818525808390407678124478589539023811e-21,2.16247384e-86
-4.75,8.8912261312855365965860473520939913641559649049289029296683436427e-19,4.48093959e-84
-4.625,1.2352777927929131980021410453040665645573082842900575242725037454e-16,5.90390169e-82
-4.5,9.5412628518507043237015211653968835927868459178534041713721540100e-15,4.33886669e-80
-4.375,4.3898115415501195432873921328206102297395901620650142461130220800e-13,2.73773711e-78
-4.25,1.2785713783348865913796037156416460446083685548070950950061601425e-11,8.35264991e-77
-4.125,2.4875790117747889024532997470516642800547326744988210936114975239e-10,1.15106255e-75
-4,3.3899538635808424464080181507598870375370695589368554145432412056e-9,1.81493899e-74
-3.9375,1.1096336511194851499717052044395618845081426545257641277985986846e-8,7.09035734e-74
-3.875,3.3740267881363930366783924042233902954242349186972033644181526541e-8,1.85050429e-73
-3.8125,9.5728382911290405783351817766145211139247889785131505772002363138e-8,5.77539144e-73
-3.75,2.5449478726175362328631389075896893197986396086865786292460334313e-7,1.53467869e-72
-3.6875,6.3646614615729652658108475067455459918533425687125335027858373111e-7,2.45368143e-72
-3.625,1.5029292380687386691747387265641920996896819505367680368621024799e-6,7.03311485e-72
-3.5625,3.3626347263806750937686768264555527920315842462910176111995656229e-6,1.95606595e-71
-3.5,7.1518498698243676763760798167937236675193617586223067137286043832e-6,4.19229101e-71
-3.4375,1.4504014953128213113657938739917571884679175540009083639729924067e-5,7.00263985e-71
-3.375,2.8128209664277938264323843107819795429355785578572484782690773919e-5,1.40038430e-70
-3.3125,5.2306651284686273365552894852144138837973667900806953677145979048e-5,3.00689009e-70
-3.25,9.3505770508751683299384054146493246731067145031307303977974667439e-5,3.76883270e-70
-3.1875,1.6107395287633087707465262212424847818565114796818059940224300719e-4,6.91689560e-70
-3.125,2.6797449752574387450516599400691861479085255860834482485214217855e-4,1.19068326e-69
-3.0625,4.3147894601235790009747124401004398557802673274938808730162156608e-4,1.43039794e-69
-3,6.7372861390806443293208404673309787301629138538887475805076339357e-4,2.06909921e-69
-2.9375,1.0220654738129664337616807238259117959069077749660736373405509481e-3,3.13532355e-69
-2.875,1.5090405322042904828073876332022601950001733516235796386577360773e-3,5.05387482e-69
-2.8125,2.1720292128275624822452314105174637118056766925844184668785424558e-3,7.70228446e-69
-2.75,3.0524170678404778509504678821436912250045314065589160139876795255e-3,1.20943228e-68
-2.6875,4.1943611228622827043252135784862391899222424021270413326322440561e-3,2.16946712e-68
-2.625,5.6431765594472025977925411659856092183039323430296162148187979533e-3,2.69235272e-68
-2.5625,7.4434390863575725769345093731124310575434153217030047001193505626e-3,3.85790811e-68
-2.5,9.6369248034230374964847015087060382766770530216744674419172573594e-3,4.70585227e-68
-2.4375,1.2260527770121674719271774277320448205391866434087427933876340613e-2,6.41956113e-68
-2.375,1.5344299098666103396126305972962294421647295047389716675892765730e-2,9.10834503e-68
-2.3125,1.8909740597766166907023924542796337001902547423696811438134067127e-2,8.82043569e-68
-2.25,2.2968463042829752951723608662985142716738905135602131342173337650e-2,8.83383117e-68
-2.1875,2.7521287565798208549619440947497815516264764569816811596453064090e-2,1.14155115e-67
-2.125,3.2557832575769952122869096764775667348350248964409434027474496532e-2,1.37750086e-67
-2.0625,3.8056592136318715548936058080326780778054477868701345929611951189e-2,1.47424835e-67
-2,4.3985478379363886600988953759656034208990781042995011355926960007e-2,1.79567252e-67
-1.96875,4.7098524981320244131324514414803050106686504030080248586985337538e-2,2.02849872e-67
-1.9375,5.0302772980055123375583554248247702520134935281710365711253176467e-2,2.58647535e-67
-1.90625,5.3591713979785759136615022801719136302237482612997104742113824247e-2,2.60261486e-67
-1.875,5.6958412565992413812732622613164384492862626335710595398851988451e-2,2.70337988e-67
-1.84375,6.0395558528792644532472001357569827444479661560945314066249144241e-2,2.73035697e-67
-1.8125,6.3895520782563937047294619355361454630709092597004429052573981257e-2,2.79507060e-67
-1.78125,6.7450402286654496336995576274462395029214208211243224163297262224e-2,3.21135051e-67
-1.75,7.1052095303906114372557551150770077345671807002323714873199021893e-2,2.89080124e-67
-1.71875,7.4692336373935574927122359859419006271129517577157908843164713773e-2,3.07884190e-67
-1.6875,7.8362760425095097039360184142309272241449124114968262271299101751e-2,3.36204228e-67
-1.65625,8.2054953501200566728522942532141006257520518204931361000515597252e-2,2.48768102e-67
-1.625,8.5760503634986165689889819328523933306579857165107459751851700906e-2,2.48320584e-67
-1.59375,8.9471049458415913936943664838152815497779200618215639912330535664e-2,3.06936712e-67
-1.5625,9.3178326199171816505974315484170892855611239175087404579916169289e-2,3.37695880e-67
-1.53125,9.6874208771690258645429184234300486480301868564824217559255556526e-2,3.26242396e-67
-1.5,1.0055075172901865837413204751152076436096718416629882350677792723e-1,3.66534170e-67
-1.46875,1.0420022589764361647884913805507817172775257174690425146948649681e-1,4.26414334e-67
-1.4375,1.0781515157057547672800483119840547287416626378682038078369986343e-1,6.00483945e-67
-1.40625,1.1138832818377958170143712445896654524709825795520833806780171044e-1,5.93957630e-67
-1.375,1.1491286044707405962365368980147555687647493383851447686861768670e-1,5.51624618e-67
-1.34375,1.1838218094254657554726894703981926839613142247352791087664804630e-1,4.83191355e-67
-1.3125,1.2179006924117282686164115006279775618280839696417126515872995445e-1,5.91649680e-67
-1.28125,1.2513066762154645615591344582468466706901649103233766962555799253e-1,5.75102592e-67
-1.25,1.2839849350344398806018314683063379435618778364133560395488096079e-1,5.57800438e-67
-1.21875,1.3158844873341892621910556770153196503091291550768075821435422199e-1,5.34900341e-67
-1.1875,1.3469582587988238271136358233542123687558248535529538109726286776e-1,5.34127835e-67
-1.15625,1.3771631171137413950638629401552475442217890419374513819473328630e-1,4.65799799e-67
-1.125,1.4064598804419149226997461015308691041712953645797068066663504442e-1,4.91810684e-67
-1.09375,1.4348133015448968257070910455465594224997835752671479325117969444e-1,4.77143048e-67
-1.0625,1.4621920295568606366753762879981433418324258062174492345395655749e-1,4.75938415e-67
-1.03125,1.4885685514479340858704613023992293969110773586359590974777753340e-1,5.01404959e-67
-1,1.5139191152148557737998664395823351675949530306440712581988407817e-1,5.40919084e-67
-0.984375,1.5262032461050525627510140723294429897165622067801442731320054347e-1,5.12657083e-67
-0.96875,1.5382236368157077944596403165539235233519619074204468206941039282e-1,4.62918986e-67
-0.953125,1.5499783323435854130983958630475669528293036024443755459110237897e-1,4.44475344e-67
-0.9375,1.5614655928241809801782367945528870423354103133022854411288236030e-1,4.12023748e-67
-0.921875,1.5726838895302989366935343005968239072335858789689648833145378443e-1,4.20488349e-67
-0.90625,1.5836319007204598755804934404465506761629287437245870535530834040e-1,3.73495114e-67
-0.890625,1.5943085073507273853462755514736279866510095636640955852010782568e-1,3.90865458e-67
-0.875,1.6047127886631768423068648600282563958194070667281621157938239850e-1,5.92894520e-67
-0.859375,1.6148440176638468954053541864634970939459206983199498571883289956e-1,6.81308524e-67
-0.84375,1.6247016565026204115613485217825608383518990643398375057441838513e-1,6.25154341e-67
-0.828125,1.6342853517670773364792067201162919671616626846540998553523141746e-1,6.44188590e-67
-0.8125,1.6435949297019491788224717899398536399275498787001972400309908614e-1,6.15401130e-67
-0.796875,1.6526303913653854450290415122799641677721415318608585353402585475e-1,6.03218707e-67
-0.78125,1.6613919077328180359791520304263962664067925948363504911686290848e-1,5.65286422e-67
-0.765625,1.6698798147587819620773158334282475757718856320237591365033276169e-1,5.97355796e-67
-0.75,1.6780946084066212368295687671648954794132863399442653827158329654e-1,5.41841468e-67
-0.734375,1.6860369396555788689836003269250443162136894816561415421082213680e-1,5.40888797e-67
-0.71875,1.6937076094943407915153685527573764716923780829750800513548918366e-1,5.48466472e-67
-0.703125,1.7011075639096765496366093876004172128286188240276619195322508285e-1,6.01965294e-67
-0.6875,1.7082378888783957351440188905037153500312257509760138433791594663e-1,5.66206329e-67
-0.671875,1.7150998053704195272123384584842181251288337627373700886131645687e-1,6.51137811e-67
-0.65625,1.7216946643703522201676134964821145300015212658286452031608872152e-1,6.98590095e-67
-0.640625,1.7280239419245291435046012033757318177998804577198492746933184159e-1,7.40495957e-67
-0.625,1.7340892342201156848023582583683907443167995655183961524999911490e-1,7.72349272e-67
-0.609375,1.7398922527024379115373266865271400943831320036457837300504923627e-1,9.06293376e-67
-0.59375,1.7454348192363391785760414651988531039388951618615121064394745529e-1,9.09949199e-67
-0.578125,1.7507188613169796593333893067024770818750907867298921634991432553e-1,9.63121330e-67
-0.5625,1.7557464073351274380300385435654532801911877136790881536615986700e-1,9.77366911e-67
-0.546875,1.7605195819016310721827351579439443711172274572817985734286192691e-1,1.08383839e-66
-0.53125,1.7650406012354147419452734178388867502114190361141311677863742303e-1,1.35087327e-66
-0.515625,1.7693117686189985525547173077780965788530041520641955350073261165e-1,1.30172379e-66
-0.5,1.7733354699252185004090357942771141440736176195618904620292013294e-1,1.25275201e-66
-0.484375,1.7771141692185032540317858658982208000212835423148643739149908359e-1,1.24266568e-66
-0.46875,1.7806504044337583926983002048390707529360663456039508608611061304e-1,1.30345161e-66
-0.453125,1.7839467831356131977442435546232745378940552773387563628955767809e-1,1.32101237e-66
-0.4375,1.7870059783605005731175556614390610064573195525581158192882999705e-1,1.28388897e-66
-0.421875,1.7898307245437672126998681013954100450504589954836596790286564955e-1,1.58417883e-66
-0.40625,1.7924238135337487268568191996395129624346438889699535362027449436e-1,1.76709799e-66
-0.390625,1.7947880906944930512862999699575729366598318291232724264297964583e-1,1.94235878e-66
-0.375,1.7969264510985750190460899284803641885207275790873481463157146545e-1,2.08259997e-66
-0.359375,1.7988418358112153855549622389884025813095074445613225878528805289e-1,1.90915406e-66
-0.34375,1.8005372282666987350908289595992464627726745764576492130025569081e-1,1.79434932e-66
-0.328125,1.8020156507378764217349699336242204795716473070173489667028409471e-1,2.04820526e-66
-0.3125,1.8032801608993428431113460917672285969864213872104862725676312712e-1,2.34801739e-66
-0.296875,1.8043338484846857284528610998785910711086426657365001132599209110e-1,2.26691812e-66
-0.28125,1.8051798320380335438549240819119805828474490941841083394395264819e-1,2.10684267e-66
-0.265625,1.8058212557599553628867980905848354456540131178313461756999875775e-1,1.88284670e-66
-0.25,1.8062612864476103931471249646175174137347621369665454848219178943e-1,1.51774380e-66
-0.234375,1.8065031105288955509961488573824967593617343827500925239509729451e-1,1.77652416e-66
-0.21875,1.8065499311901997903097995644236049931815597837435368574133331403e-1,2.21860255e-66
-0.203125,1.8064049655972430615410650892989623540230025833265968748889623604e-1,2.45136231e-66
-0.1875,1.8060714422083555430449065285381151883461762898100235703279262020e-1,1.56095606e-66
-0.171875,1.8055525981794388807926540565281801602729790613394619312970276649e-1,1.53602075e-66
-0.15625,1.8048516768597453246370899712732532564985823874501772387848552120e-1,1.44892770e-66
-0.140625,1.8039719253775125858008774275179127367118038315267483384775748111e-1,1.19002844e-66
-0.125,1.8029165923144016861641335874848691529165205417536808370555412377e-1,1.69873065e-66
-0.109375,1.8016889254676017494219183795370376300046107668053171022945606180e-1,1.70476666e-66
-0.09375,1.8002921696983893216557336552338826959049907825247822984659661862e-1,1.77549351e-66
-0.078125,1.7987295648658601297147074969868449726042871713911195880462879591e-1,1.45967387e-66
-0.0625,1.7970043438444879172008776532751826477019870127452652859714786827e-1,1.11837693e-66
-0.046875,1.7951197306241078694243169382069942075740763612104169448635562935e-1,1.05719788e-66
-0.03125,1.7930789384908708831424744411278416104742071344829481558633075899e-1,8.31215065e-67
-0.015625,1.7908851682876692905692919124781643712630927566174578918260761315e-1,1.07851510e-66
0,1.7885416067524943505221847010490293065271003075681404322394172289e-1,1.21667978e-66
0.015625,1.7860514249331506177491010452327848210521070956521226733544533711e-1,1.21872538e-66
0.03125,1.7834177766767219445112712474178577955776066743500262749919968049e-1,1.22077590e-66
0.046875,1.7806437971921581117921038749453857500670456727949007192247838676e-1,1.22283137e-66
0.0625,1.7777326016843296920967872679523906336047922015272378322759688626e-1,1.22489179e-66
0.078125,1.7746872840578814786320483013646283681230304341561142481238328405e-1,1.22695717e-66
0.09375,1.7715109156892014497543271698322437671036853308853386203174965024e-1,1.22902755e-66
0.109375,1.7682065442648125522823687193833316550270955754981762785671631657e-1,1.23110292e-66
0.125,1.7647771926844883683592199348067391761738291762561392010703495197e-1,1.23318331e-66
0.140625,1.7612258580273907703414335405850179039326152110607573393387899285e-1,1.23526873e-66
0.15625,1.7575555105795277656457059270509033207670171424930669366997665726e-1,1.23735920e-66
0.171875,1.7537690929208326942395016592079661403456305293858668443088609564e-1,1.23945473e-66
0.1875,1.7498695190701715778849567719998240198892770710714760966863226063e-1,1.24155533e-66
0.203125,1.7458596736865935514216378680390199784036236961974400837048941966e-1,1.24366103e-66
0.21875,1.7417424113251497581002758561175964537440085306838291672089365156e-1,1.24577184e-66
0.234375,1.7375205557456186957281712597231282472666752930335942496470403634e-1,1.24788778e-66
0.25,1.7331968992724905972522255873403409830889684464331382509594903630e-1,1.25000885e-66
0.265625,1.7287742022045798640368135838196016552089393024190325908338535830e-1,1.25213508e-66
0.28125,1.7242551922726526946124247411370919080765316133197563460378852885e-1,1.25426648e-66
0.296875,1.7196425641434767245753440223895050848316133769460420870718952078e-1,1.25640307e-66
0.3125,1.7149389789687205793766867842176933793554367351380908256501679502e-1,1.25854486e-66
0.328125,1.7101470639771536118719247930971087323225902485962003871279038988e-1,1.26069187e-66
0.34375,1.7052694121086196276579860275674334997574804019671885715641237294e-1,1.26284412e-66
0.359375,1.7003085816882829762463307692685200054533845489376825148508302224e-1,1.26500162e-66
0.375,1.6952670961396708936033340674879462777932918066015377757858191292e-1,1.26716439e-66
0.390625,1.6901474437350623157386103400706074743953869070085521348091543918e-1,1.26933245e-66
0.40625,1.6849520773818004435008808682487314374374476830691269758314318892e-1,1.27150580e-66
0.421875,1.6796834144431340305176766356864393960698856298527965361975589154e-1,1.27368448e-66
0.4375,1.6743438365922205994058303434111999156793274855704139396801138522e-1,1.27586848e-66
0.453125,1.6689356896979534810900147418428054034785930852011222568547669993e-1,1.27805784e-66
0.46875,1.6634612837413036382314388051890228843883039331226734865063530775e-1,1.28025257e-66
0.484375,1.6579228927608966009913591108674016793921988491177313443520849749e-1,1.28245268e-66
0.5,1.6523227548265744407444321096001441285293084607543933854738299596e-1,1.28465818e-66
0.515625,1.6466630720397224683712970831639554767847407624521617573292615711e-1,1.28686911e-66
0.53125,1.6409460105591702060401774730169826543790910414669913625198001911e-1,1.28908547e-66
0.546875,1.6351737006515060866026486564940430799642741942494395993077309595e-1,1.29130729e-66
0.5625,1.6293482367646752284174821140655945747269811271036174957625347831e-1,1.29353457e-66
0.578125,1.6234716776237594648311506770397789623400546315932426676575628381e-1,1.29576733e-66
0.59375,1.6175460463478685294975672475284939542567242437675542013854629609e-1,1.29800560e-66
0.609375,1.6115733305871008674365647867725385611828783676320367189159521282e-1,1.30024939e-66
0.625,1.6055554826785619166964961355596133182076146547691511303761410770e-1,1.30249871e-66
0.640625,1.5994944198204568493045809081690180447037888865101240852466641538e-1,1.30475359e-66
0.65625,1.5933920242633036384384189938379771868703304548901247574393191544e-1,1.30701404e-66
0.671875,1.5872501435173408998499052890704527069811060186001519072285286768e-1,1.30928008e-66
0.6875,1.5810705905752332106374540450992979418999163255074339431628216725e-1,1.31155173e-66
0.703125,1.5748551441492045111837701464191358227010260918715105479111257606e-1,1.31382900e-66
0.71875,1.5686055489217577225873970616569103121460252655277736299101774447e-1,1.31611191e-66
0.734375,1.5623235158091658406691127123578703279274896279767180798046569283e-1,1.31840048e-66
0.75,1.5560107222369464792800265871908458747626429950689261875624022643e-1,1.32069473e-66
0.765625,1.5496688124265581129104758549224893539480363729438425409039102463e-1,1.32299468e-66
0.78125,1.5432993976925820962008145175647160332591234313861614631716751666e-1,1.32530033e-66
0.796875,1.5369040567496799024511493885759780964608000785202842005413050743e-1,1.32761172e-66
0.8125,1.5304843360286399129370959646649884968042495369043211370255284044e-1,1.32992886e-66
0.828125,1.5240417500008524937374371618438693434302405370149373698464645277e-1,1.33225176e-66
0.84375,1.5175777815105760083990429109882774125061749902206176903513104593e-1,1.33458045e-66
0.859375,1.5110938821143798260997937938416784090550404483544839183763638047e-1,1.33691494e-66
0.875,1.5045914724271732903900612311807476093133070098592495100585846779e-1,1.33925526e-66
0.890625,1.4980719424742520087528282751828991159693663778726707308346225247e-1,1.34160141e-66
0.90625,1.4915366520488147049809418820451317611606828546854920536359323578e-1,1.34395342e-66
0.921875,1.4849869310744252427108379696479578499729334971842855193258964137e-1,1.34631131e-66
0.9375,1.4784240799719152784073364064861392074025063015596978184643092639e-1,1.34867510e-66
0.953125,1.4718493700302433356714404303304614118851114761073398627384552510e-1,1.35104480e-66
0.96875,1.4652640437808459108564686728189555188707007578925374172029067431e-1,1.35342044e-66
0.984375,1.4586693153750355243813376942116815725564171125353188012955442749e-1,1.35580202e-66
1,1.4520663709640194253543670745173917702186770755014984784552087233e-1,1.35818958e-66
1.03125,1.4388404410258832549653930780928979399404012591812317073919204068e-1,1.36298269e-66
1.0625,1.4255951977413750429386648803574389412980115057548302859398814174e-1,1.36779990e-66
1.09375,1.4123391615039505857259723641060366098183440410148754269444103530e-1,1.37264139e-66
1.125,1.3990804417225925227377121799052376640028448303190131721332750562e-1,1.37750729e-66
1.15625,1.3858267492272586144401775210095487328221269142796487278285398646e-1,1.38239778e-66
1.1875,1.3725854086460368968479158663122888115189718774300774824098326926e-1,1.38731300e-66
1.21875,1.3593633707208487296875142402784625627472010587150639963309690356e-1,1.39225311e-66
1.25,1.3461672245318876185819246551400353340332472767856973676348124295e-1,1.39721828e-66
1.28125,1.3330032096041099816211798204641570352958874208498910257920310886e-1,1.40220866e-66
1.3125,1.3198772278720123635186963607568501920761243675552303579645748044e-1,1.40722442e-66
1.34375,1.3067948554816468100837048461654736748693843397663175601068153986e-1,1.41226572e-66
1.375,1.2937613544113511623180443269260461894936392910997026915358656114e-1,1.41733273e-66
1.40625,1.2807816838950129203958565280271178111760673260412974356277403353e-1,1.42242561e-66
1.4375,1.2678605116338530488660058422606616851879617180971746529648830382e-1,1.42754453e-66
1.46875,1.2550022247847185511757005902121117834893792140065805122053352624e-1,1.43268965e-66
1.5,1.2422109407147186096674312896979597664345686634511712511907547536e-1,1.43786116e-66
1.53125,1.2294905175137371705426905628272157833368127382710195366390472219e-1,1.44305921e-66
1.5625,1.2168445642579134497659479821134267669942128429191290648186242358e-1,1.44828399e-66
1.59375,1.2042764510186091090953691118719214088845981177163847982032456825e-1,1.45353567e-66
1.625,1.1917893186126847082819410024989296155751132968177647132267668736e-1,1.45881442e-66
1.65625,1.1793860880910961128007258999599354287350548391888348812580636105e-1,1.46412042e-66
1.6875,1.1670694699639011720365243963701040947848316386417005825717504301e-1,1.46945385e-66
1.71875,1.1548419731607452302657791204057375241288150033326096787953325644e-1,1.47481488e-66
1.75,1.1427059137267776398292040970015953966684082465779280807851223959e-1,1.48020370e-66
1.78125,1.1306634232547468557194548088557643138902055806111299952048179832e-1,1.48562050e-66
1.8125,1.1187164570547350416796009921135036226823383418566157971049453521e-1,1.49106545e-66
1.84375,1.1068668020636302451116034190684668145702951758362782486363692251e-1,1.49653875e-66
1.875,1.0951160844970006376791302426123316433191788950224725774162779556e-1,1.50204057e-66
1.90625,1.0834657772465363125315233628165863149620238620930804423507223615e-1,1.50757111e-66
1.9375,1.0719172070266646322143025938518167624710346200216773967918636723e-1,1.51313056e-66
1.96875,1.0604715612743298083425317246575276364161627548765577077917709184e-1,1.51871910e-66
2,1.0491298948062606683154508721941478042004181325781310699657889750e-1,1.52433694e-66
2.0625,1.0267620941719040170495239125032025512215280976393836673351116926e-1,1.53566127e-66
2.125,1.0048198294034004606421641714518497902135835955898653382029855738e-1,1.54710512e-66
2.1875,9.8330738991078330660815450750536227720609245076285141825850981644e-2,1.55867011e-66
2.25,9.6222750351119111288262037613980089947305069857951360035157778369e-2,1.57035784e-66
2.3125,9.4158149649714382246558569854031199852480463609071633274540435952e-2,1.58216999e-66
2.375,9.2136944121096479500533567613856628480285904684086935167382876897e-2,1.59410822e-66
2.4375,9.0159029184280190368963934727036016636583058934597571277998339895e-2,1.60617426e-66
2.5,8.8224200916354986620474890809446340832673156045373499183358611802e-2,1.61836983e-66
2.5625,8.6332167489078955114966799574856375928042932625116758454893710989e-2,1.63069670e-66
2.625,8.4482559636718838157649127909676897053963703777566602531250630469e-2,1.64315668e-66
2.6875,8.2674940220796083216634953860192605146411437606725440104002512452e-2,1.65575157e-66
2.75,8.0908812954807221240354925929981201243938747446407398217050704362e-2,1.66848324e-66
2.8125,7.9183630349180332463621082351091863915419122331740991554722458985e-2,1.68135358e-66
2.875,7.7498800933784133230363395119962992714619425664538691155747924966e-2,1.69436450e-66
2.9375,7.5853695812285033357092404836673926003664834397901244069528913934e-2,1.70751795e-66
3,7.4247654599601391859420961787839066228567142085652014645012797116e-2,1.72081591e-66
3.0625,7.2679990790674174355024437938028607661261396167713761355530624728e-2,1.73426041e-66
3.125,7.1149996605791831073908727507490035094536359631927379551688259761e-2,8.12526379e-68
3.1875,6.9656947354799828567359304579419490673764902943362604016721249637e-2,8.13022978e-68
3.25,6.8200105359711193808040697420617944053521224975908401702009874433e-2,8.13520862e-68
3.3125,6.6778723472527921803704123740239242319521983861349979112271988760e-2,8.14020035e-68
3.375,6.5392048222494208454444794983611526214568993807522040911127532748e-2,8.14520500e-68
3.4375,6.4039322624537780704528408024017487221455379667658713676451280934e-2,8.15022263e-68
3.5,6.2719788678318846856878177745956497618042303218922263102181897195e-2,8.15525329e-68
